,Apprehension Date,Apprehension AOR,citizenship_country,citizenship_country_cleaned,Continent,Country
77544,2025-07-28,Houston,Mexico,Mexico,North America,Mexico
77545,2025-07-28,New Orleans,Mexico,Mexico,North America,Mexico
77546,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77547,2025-07-28,San Francisco,Mexico,Mexico,North America,Mexico
77548,2025-07-28,New York City,Guatemala,Guatemala,North America,Guatemala
77549,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77550,2025-07-28,Chicago,Mexico,Mexico,North America,Mexico
77551,2025-07-28,Denver,Venezuela,Venezuela,South America,Venezuela
77552,2025-07-28,Washington,Guatemala,Guatemala,North America,Guatemala
77553,2025-07-28,New York City,Honduras,Honduras,North America,Honduras
77554,2025-07-28,Seattle,Mexico,Mexico,North America,Mexico
77555,2025-07-28,Chicago,Mexico,Mexico,North America,Mexico
77556,2025-07-28,Seattle,Mexico,Mexico,North America,Mexico
77557,2025-07-28,San Francisco,Mexico,Mexico,North America,Mexico
77558,2025-07-28,Boston,Laos,Laos,Asia,Laos
77559,2025-07-28,Seattle,Mexico,Mexico,North America,Mexico
77560,2025-07-28,Chicago,Mexico,Mexico,North America,Mexico
77561,2025-07-28,Houston,Mexico,Mexico,North America,Mexico
77562,2024-10-16,San Antonio,Mexico,Mexico,North America,Mexico
77563,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77564,2025-07-28,HQ,El Salvador,El Salvador,North America,El Salvador
77565,2025-07-28,Miami,El Salvador,El Salvador,North America,El Salvador
77566,2025-07-28,Chicago,Nicaragua,Nicaragua,North America,Nicaragua
77567,2025-07-28,Philadelphia,Mexico,Mexico,North America,Mexico
77568,2025-07-28,St. Paul,South Sudan,South Sudan,Africa,South Sudan
77569,2025-07-16,New Orleans,Venezuela,Venezuela,South America,Venezuela
77570,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77571,2025-07-28,Baltimore,Mexico,Mexico,North America,Mexico
77572,2025-07-28,Phoenix,Mexico,Mexico,North America,Mexico
77573,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77574,2025-07-28,Baltimore,Guatemala,Guatemala,North America,Guatemala
77575,2025-07-28,Phoenix,Guatemala,Guatemala,North America,Guatemala
77576,2025-07-28,El Paso,Mexico,Mexico,North America,Mexico
77577,2025-07-28,Phoenix,Guatemala,Guatemala,North America,Guatemala
77578,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77579,2025-07-28,HQ,Nicaragua,Nicaragua,North America,Nicaragua
77580,2025-07-28,Dallas,Honduras,Honduras,North America,Honduras
77581,2025-07-28,Houston,Mexico,Mexico,North America,Mexico
77582,2025-07-28,Houston,Mexico,Mexico,North America,Mexico
77583,2025-07-28,New Orleans,Guatemala,Guatemala,North America,Guatemala
77584,2025-07-28,Houston,Mexico,Mexico,North America,Mexico
77585,2025-07-28,Houston,Guatemala,Guatemala,North America,Guatemala
77586,2025-07-28,Baltimore,Mexico,Mexico,North America,Mexico
77587,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77588,2025-07-29,Miami,Jamaica,Jamaica,North America,Jamaica
77589,2025-07-29,Miami,Kazakhstan,Kazakhstan,Asia,Kazakhstan
77590,2025-07-29,Miami,Cuba,Cuba,North America,Cuba
77591,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77592,2025-07-28,Dallas,Honduras,Honduras,North America,Honduras
77593,2025-07-28,Dallas,Guatemala,Guatemala,North America,Guatemala
77594,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77595,2025-07-28,Dallas,El Salvador,El Salvador,North America,El Salvador
77596,2025-07-29,Miami,Argentina,Argentina,South America,Argentina
77597,2025-07-29,Miami,Cuba,Cuba,North America,Cuba
77598,2025-07-28,Dallas,El Salvador,El Salvador,North America,El Salvador
77599,2025-07-29,Miami,Venezuela,Venezuela,South America,Venezuela
77600,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77601,2025-03-03,Atlanta,Mexico,Mexico,North America,Mexico
77602,2025-07-28,Salt Lake City,Cuba,Cuba,North America,Cuba
77603,2025-07-29,Miami,Guatemala,Guatemala,North America,Guatemala
77604,2025-07-29,Miami,Colombia,Colombia,South America,Colombia
77605,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77606,2025-07-29,Miami,Cuba,Cuba,North America,Cuba
77607,2025-07-28,Phoenix,Nicaragua,Nicaragua,North America,Nicaragua
77608,2025-07-28,Phoenix,Nicaragua,Nicaragua,North America,Nicaragua
77609,2025-07-28,Phoenix,Nicaragua,Nicaragua,North America,Nicaragua
77610,2025-07-28,San Antonio,Venezuela,Venezuela,South America,Venezuela
77611,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77612,2025-07-28,Denver,Honduras,Honduras,North America,Honduras
77613,2025-07-28,Seattle,Mexico,Mexico,North America,Mexico
77614,2025-07-28,Phoenix,Guatemala,Guatemala,North America,Guatemala
77615,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77616,2024-10-27,Dallas,Mexico,Mexico,North America,Mexico
77617,2025-07-28,Los Angeles,Mexico,Mexico,North America,Mexico
77618,2025-07-28,Dallas,Venezuela,Venezuela,South America,Venezuela
77619,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77620,2025-07-28,Seattle,Mexico,Mexico,North America,Mexico
77621,2025-07-28,New York City,Ecuador,Ecuador,South America,Ecuador
77622,2025-07-28,Chicago,Cuba,Cuba,North America,Cuba
77623,2025-07-28,Phoenix,Nicaragua,Nicaragua,North America,Nicaragua
77624,2025-07-28,Salt Lake City,Guatemala,Guatemala,North America,Guatemala
77625,2025-07-29,New York City,Peru,Peru,South America,Peru
77626,2025-07-28,San Antonio,Guatemala,Guatemala,North America,Guatemala
77627,2025-07-28,Salt Lake City,"China, Peoples Republic Of",China,Asia,China
77628,2025-07-29,New York City,Ecuador,Ecuador,South America,Ecuador
77629,2025-07-26,San Antonio,United Kingdom,United Kingdom,Europe,United Kingdom
77630,2025-07-26,San Antonio,United Kingdom,United Kingdom,Europe,United Kingdom
77631,2025-07-26,San Antonio,United Kingdom,United Kingdom,Europe,United Kingdom
77632,2025-07-26,San Antonio,United Kingdom,United Kingdom,Europe,United Kingdom
77633,2025-07-26,San Antonio,United Kingdom,United Kingdom,Europe,United Kingdom
77634,2025-07-26,San Antonio,United Kingdom,United Kingdom,Europe,United Kingdom
77635,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77636,2025-07-28,Salt Lake City,Venezuela,Venezuela,South America,Venezuela
77637,2025-07-27,Houston,Honduras,Honduras,North America,Honduras
77638,2025-07-28,Houston,El Salvador,El Salvador,North America,El Salvador
77639,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77640,2025-07-27,New York City,Mexico,Mexico,North America,Mexico
77641,2025-07-27,Newark,Romania,Romania,Europe,Romania
77642,2025-07-27,Houston,Equatorial Guinea,Equatorial Guinea,Africa,Equatorial Guinea
77643,2025-07-29,Salt Lake City,Mexico,Mexico,North America,Mexico
77644,2025-07-27,Miami,Mexico,Mexico,North America,Mexico
77645,2025-07-28,Salt Lake City,Venezuela,Venezuela,South America,Venezuela
77646,2025-07-28,Salt Lake City,Venezuela,Venezuela,South America,Venezuela
77647,2025-07-27,New York City,Colombia,Colombia,South America,Colombia
77648,2025-07-27,Houston,El Salvador,El Salvador,North America,El Salvador
77649,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77650,2025-07-27,Houston,India,India,Asia,India
77651,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77652,2025-07-27,Dallas,Mexico,Mexico,North America,Mexico
77653,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77654,2025-07-27,Philadelphia,Guatemala,Guatemala,North America,Guatemala
77655,2025-07-27,Philadelphia,Guatemala,Guatemala,North America,Guatemala
77656,2025-07-27,Houston,El Salvador,El Salvador,North America,El Salvador
77657,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77658,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77659,2025-07-28,Salt Lake City,El Salvador,El Salvador,North America,El Salvador
77660,2025-07-27,Miami,Nicaragua,Nicaragua,North America,Nicaragua
77661,2025-07-28,Denver,El Salvador,El Salvador,North America,El Salvador
77662,2025-07-28,Salt Lake City,Vietnam,Vietnam,Asia,Vietnam
77663,2025-07-27,Houston,Cuba,Cuba,North America,Cuba
77664,2025-07-29,Miami,Guatemala,Guatemala,North America,Guatemala
77665,2025-07-27,Los Angeles,Costa Rica,Costa Rica,North America,Costa Rica
77666,2025-07-29,Miami,Honduras,Honduras,North America,Honduras
77667,2025-06-09,New York City,Ecuador,Ecuador,South America,Ecuador
77668,2025-07-27,Dallas,Honduras,Honduras,North America,Honduras
77669,2025-07-27,El Paso,Cuba,Cuba,North America,Cuba
77670,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77671,2025-07-28,Harlingen,Mexico,Mexico,North America,Mexico
77672,2025-07-28,Boston,Brazil,Brazil,South America,Brazil
77673,2025-07-27,Boston,Brazil,Brazil,South America,Brazil
77674,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77675,2025-07-27,Boston,Honduras,Honduras,North America,Honduras
77676,2025-07-27,Boston,Uganda,Uganda,Africa,Uganda
77677,2025-07-27,Salt Lake City,Ethiopia,Ethiopia,Africa,Ethiopia
77678,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77679,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77680,2025-07-27,Phoenix,Mexico,Mexico,North America,Mexico
77681,2025-07-27,Phoenix,Mexico,Mexico,North America,Mexico
77682,2025-07-27,Phoenix,Mexico,Mexico,North America,Mexico
77683,2025-07-27,Phoenix,Nepal,Nepal,Asia,Nepal
77684,2025-07-28,Phoenix,Mexico,Mexico,North America,Mexico
77685,2025-07-27,Houston,El Salvador,El Salvador,North America,El Salvador
77686,2025-07-27,Phoenix,Mexico,Mexico,North America,Mexico
77687,2025-07-27,Houston,El Salvador,El Salvador,North America,El Salvador
77688,2025-07-27,Houston,Honduras,Honduras,North America,Honduras
77689,2025-07-27,Atlanta,Mexico,Mexico,North America,Mexico
77690,2025-07-27,Atlanta,Mexico,Mexico,North America,Mexico
77691,2025-07-01,Atlanta,Mexico,Mexico,North America,Mexico
77692,2025-07-27,Atlanta,Mexico,Mexico,North America,Mexico
77693,2025-07-27,Houston,Honduras,Honduras,North America,Honduras
77694,2025-07-27,Houston,Honduras,Honduras,North America,Honduras
77695,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77696,2025-07-27,New Orleans,Mexico,Mexico,North America,Mexico
77697,2025-07-27,Miami,Kazakhstan,Kazakhstan,Asia,Kazakhstan
77698,2025-07-27,Miami,Dominican Republic,Dominican Republic,North America,Dominican Republic
77699,2025-07-27,Miami,Jamaica,Jamaica,North America,Jamaica
77700,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77701,2025-07-27,San Francisco,"China, Peoples Republic Of",China,Asia,China
77702,2025-07-27,San Francisco,India,India,Asia,India
77703,2025-07-27,San Francisco,Brazil,Brazil,South America,Brazil
77704,2025-07-27,San Francisco,India,India,Asia,India
77705,2025-07-27,San Francisco,India,India,Asia,India
77706,2025-07-27,Miami,Panama,Panama,North America,Panama
77707,2025-07-27,St. Paul,El Salvador,El Salvador,North America,El Salvador
77708,2025-07-27,Miami,"China, Peoples Republic Of",China,Asia,China
77709,2025-07-27,San Francisco,India,India,Asia,India
77710,2025-07-27,San Francisco,India,India,Asia,India
77711,2025-07-27,Miami,Venezuela,Venezuela,South America,Venezuela
77712,2025-07-27,San Francisco,Russia,Russia,Asia,Russia
77713,2025-07-27,San Francisco,India,India,Asia,India
77714,2025-07-27,San Francisco,India,India,Asia,India
77715,2025-07-27,San Francisco,India,India,Asia,India
77716,2025-07-27,San Francisco,India,India,Asia,India
77717,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77718,2025-07-27,Houston,India,India,Asia,India
77719,2025-07-27,San Francisco,India,India,Asia,India
77720,2025-07-27,San Francisco,India,India,Asia,India
77721,2025-07-27,San Francisco,India,India,Asia,India
77722,2025-07-27,Phoenix,Mexico,Mexico,North America,Mexico
77723,2025-07-27,Miami,Dominican Republic,Dominican Republic,North America,Dominican Republic
77724,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77725,2024-10-07,Atlanta,Guatemala,Guatemala,North America,Guatemala
77726,2025-07-27,Los Angeles,Rwanda,Rwanda,Africa,Rwanda
77727,2025-07-27,Dallas,Mexico,Mexico,North America,Mexico
77728,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77729,2025-07-27,Atlanta,Mexico,Mexico,North America,Mexico
77730,2025-07-28,Washington,Bolivia,Bolivia,South America,Bolivia
77731,2025-07-28,Miami,Colombia,Colombia,South America,Colombia
77732,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77733,2025-07-27,Dallas,Mexico,Mexico,North America,Mexico
77734,2025-07-27,Seattle,Guatemala,Guatemala,North America,Guatemala
77735,2025-07-28,Salt Lake City,Colombia,Colombia,South America,Colombia
77736,2025-07-25,Atlanta,Honduras,Honduras,North America,Honduras
77737,2025-07-25,Miami,Guatemala,Guatemala,North America,Guatemala
77738,2025-07-25,Atlanta,Mexico,Mexico,North America,Mexico
77739,2025-07-08,El Paso,Venezuela,Venezuela,South America,Venezuela
77740,2025-03-04,Dallas,Venezuela,Venezuela,South America,Venezuela
77741,2025-06-18,El Paso,Venezuela,Venezuela,South America,Venezuela
77742,2025-05-14,Dallas,Venezuela,Venezuela,South America,Venezuela
77743,2025-06-04,New York City,Venezuela,Venezuela,South America,Venezuela
77744,2025-05-27,El Paso,Venezuela,Venezuela,South America,Venezuela
77745,2025-01-27,El Paso,Venezuela,Venezuela,South America,Venezuela
77746,2025-05-16,El Paso,Venezuela,Venezuela,South America,Venezuela
77747,2025-02-17,Dallas,Venezuela,Venezuela,South America,Venezuela
77748,2025-06-06,New York City,Venezuela,Venezuela,South America,Venezuela
77749,2025-06-17,El Paso,Venezuela,Venezuela,South America,Venezuela
77750,2025-06-03,El Paso,Venezuela,Venezuela,South America,Venezuela
77751,2025-05-04,Dallas,Venezuela,Venezuela,South America,Venezuela
