Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Garcia,Democratic,California,CA,Nay,42,CA-42,-22.0,2024.0,Robert Garcia,Garcia,Democrat
Garcia,Democratic,Illinois,IL,Nay,4,IL-4,-22.0,2024.0,"Jesús G. ""Chuy"" García",Garcia,Democrat
Garcia,Democratic,Texas,TX,Nay,29,TX-29,-18.0,2024.0,Sylvia R. Garcia,Garcia,Democrat
Gill,Republican,Texas,TX,Yea,26,TX-26,13.0,2024.0,Brandon Gill,Gill,Republican
Gillen,Democratic,New York,NY,Yea,5,NY-5,-30.0,2024.0,Laura Gillen,Gillen,Democrat
Gimenez,Republican,Florida,FL,Yea,28,FL-28,2.0,2024.0,Carlos A. Gimenez,Gimenez,Republican
Golden,Democratic,Maine,ME,Yea,2,ME-2,6.0,2024.0,Jared F. Golden,Golden,Democrat
Goldman,Democratic,New York,NY,Nay,11,NY-11,6.0,2024.0,Daniel S. Goldman,Goldman,Democrat
Goldman,Republican,Texas,TX,Yea,12,TX-12,12.0,2024.0,Craig A. Goldman,Goldman,Republican
Gomez,Democratic,California,CA,Nay,34,CA-34,-32.0,2024.0,Jimmy Gomez,Gomez,Democrat
Gooden,Republican,Texas,TX,Yea,5,TX-5,14.0,2024.0,Lance Gooden,Gooden,Republican
Gosar,Republican,Arizona,AZ,Yea,9,AZ-9,16.0,2024.0,Paul A. Gosar,Gosar,Republican
Gottheimer,Democratic,New Jersey,NJ,Yea,6,NJ-6,-8.0,2024.0,Josh Gottheimer,Gottheimer,Democrat
Graves,Republican,Missouri,MO,Yea,6,MO-6,21.0,2024.0,Sam Graves,Graves,Republican
Gray,Democratic,California,CA,Yea,13,CA-13,-4.0,2024.0,Adam Gray,Gray,Democrat
Greene,Republican,Georgia,GA,Yea,14,GA-14,22.0,2024.0,Marjorie Taylor Greene,Greene,Republican
Griffith,Republican,Virginia,VA,Yea,9,VA-9,23.0,2024.0,H. Morgan Griffith,Griffith,Republican
Grijalva,Democratic,Arizona,AZ,Not Voting,1,AZ-1,2.0,2024.0,Raul Grijalva,Grijalva,Democrat
Grothman,Republican,Wisconsin,WI,Yea,6,WI-6,10.0,2024.0,Glenn Grothman,Grothman,Republican
Guest,Republican,Mississippi,MS,Yea,4,MS-4,22.0,2024.0,Michael Guest,Guest,Republican
Guthrie,Republican,Kentucky,KY,Yea,2,KY-2,21.0,2024.0,Brett Guthrie,Guthrie,Republican
Hageman,Republican,Wyoming,WY,Yea,AL,WY-AL,25.0,2024.0,Harriet M. Hageman,Hageman,Republican
Hamadeh,Republican,Arizona,AZ,Yea,8,AZ-8,10.0,2024.0,Abraham J. Hamadeh,Hamadeh,Republican
Harder,Democratic,California,CA,Yea,9,CA-9,-5.0,2024.0,Josh Harder,Harder,Democrat
Haridopolos,Republican,Florida,FL,Yea,8,FL-8,11.0,2024.0,Mike Haridopolos,Haridopolos,Republican
Harrigan,Republican,North Carolina,NC,Yea,11,NC-11,8.0,2024.0,Pat Harrigan,Harrigan,Republican
