FID,objectid,permit_number,operator,permit_status,effective_date,operational_status,permit_type,site_name,site_address_1,site_address_2,site_address_3,site_towncity,site_postcode,site_grid_reference,easting,northing,nrw_area,complianceteam,local_aurthority,permit_regime,permit_activity_code,permit_activity_description,permit_activity_limit,permit_activity_limit_units,geom
nrw_authorised_landfill_sites_pnt.63,63,TP3298FH,Carmarthenshire County Council,Effective,1985-12-12T00:00:00,Closed,Bespoke,Nantycaws Landfill Phase 1,Nantycaws,,,Carmarthen,SA32 8BG,SN 47236 17448,247236,217448,SouthWest,SW Waste Regulation Team,Carmarthenshire,Waste,A04,"Household, Commercial & Industrial Waste Landfill",0,Tonnes per annum,POINT (247236 217448)
nrw_authorised_landfill_sites_pnt.64,64,TP3698FA,Pembrokeshire County Council,Effective,1961-02-27T00:00:00,Closed,Bespoke,St Davids Landfill,,,,St Davids,SA62 6XE,SM 78489 26655,178489,226655,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A04,"Household, Commercial & Industrial Waste Landfill",0,Tonnes per annum,POINT (178489 226655)
nrw_authorised_landfill_sites_pnt.65,65,TP3894FN,Edward Stephens,Effective,1994-01-21T00:00:00,Closed,Bespoke,Waen Farm,Nercwys,,,Mold,CH7 4EW,SJ 24392 61599,324392,361599,North,NE Waste Regulation Team,Flintshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (324392 361599)
nrw_authorised_landfill_sites_pnt.66,66,TP3994FV,"Jones J, G, & E",Effective,1994-01-17T00:00:00,Closed,Bespoke,Marian Ffrith Landfill,Cwm,,,Dyserth,LL18 6HU,SJ 07290 78181,307290,378181,North,NE Waste Regulation Team,Denbighshire,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (307290 378181)
nrw_authorised_landfill_sites_pnt.67,67,UP3098FG,Alan W Nicholas,Effective,1994-02-09T00:00:00,Closed,Bespoke,Slade Cross,Slade Cross,,,Cosheton,SA72 4SX,SM 99492 02792,199492,202792,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (199492 202792)
nrw_authorised_landfill_sites_pnt.68,68,VB3193HJ,Tom Prichard Contracting Ltd,Effective,2016-04-14T01:00:00,Closed,Bespoke,Croes Cwtta Landfill Site,Castell Upon Alun,,,St Brides Major,CF32 0TN,SS 91461 74734,291461,174734,SouthWest,SC Waste Regulation Team,Vale of Glamorgan,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (291461 174734)
nrw_authorised_landfill_sites_pnt.69,69,VP3899FS,Davies Gethin & Son,Effective,1989-03-15T00:00:00,Closed,Bespoke,Croescarneinon Farm Landfill,Rhiwderin,,,Newport,NP10 8RR,ST 25294 85754,325294,185754,SouthEast,SE Waste Regulation Team,Newport,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (325294 185754)
nrw_authorised_landfill_sites_pnt.70,70,XP3094FS,Watkin Jones & Son Ltd,Effective,1993-02-25T00:00:00,Closed,Bespoke,Pontrug Landfill - Part Ordnance Survey 3990,Nantlle,,,Caernarfon,LL55 2BF,SH 50214 62873,250214,362873,North,NE Waste Regulation Team,Gwynedd,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (250214 362873)
nrw_authorised_landfill_sites_pnt.71,71,YP3195FG,Springfield Environmental Ltd,Effective,1984-09-01T01:00:00,Closed,Bespoke,Stormy West,,,,Pyle,CF32 0NP,SS 84517 80563,284517,180563,SouthWest,SC Waste Regulation Team,Bridgend,Waste,A04,"Household, Commercial & Industrial Waste Landfill",0,Tonnes per annum,POINT (284517 180563)
nrw_authorised_landfill_sites_pnt.72,72,YP3199FE,Rhondda Cynon Taff County Borough Council,Effective,1994-06-27T01:00:00,Closed,Bespoke,Coedely Reclamation & Development Scheme,Coed Ely,,,Tonyrefail,CF39 8EX,ST 00371 85943,300371,185943,SouthEast,SC Waste Regulation Team,Rhondda Cynon Taff,Waste,A01,Co-Disposal Landfill Site,0,Tonnes per annum,POINT (300371 185943)
