Apprehension AOR,weeks_since_inauguration,arrests
Philadelphia,5,109
Philadelphia,6,128
Philadelphia,7,162
Philadelphia,8,104
Philadelphia,9,162
Philadelphia,10,80
Philadelphia,11,93
Philadelphia,12,102
Philadelphia,13,152
Philadelphia,14,88
Philadelphia,15,104
Philadelphia,16,120
Philadelphia,17,157
Philadelphia,18,150
Philadelphia,19,282
Philadelphia,20,222
Philadelphia,21,199
Philadelphia,22,170
Philadelphia,23,180
Philadelphia,24,182
Philadelphia,25,166
Philadelphia,26,178
Philadelphia,27,190
Philadelphia,28,149
Philadelphia,29,146
Philadelphia,30,148
Philadelphia,31,167
Philadelphia,32,194
Philadelphia,33,252
Philadelphia,34,205
Philadelphia,35,234
Philadelphia,36,208
Philadelphia,37,239
Philadelphia,38,125
Phoenix,-15,68
Phoenix,-14,70
Phoenix,-13,73
Phoenix,-12,71
Phoenix,-11,56
Phoenix,-10,70
Phoenix,-9,78
Phoenix,-8,73
Phoenix,-7,85
Phoenix,-6,71
Phoenix,-5,79
Phoenix,-4,79
Phoenix,-3,67
Phoenix,-2,62
Phoenix,-1,85
Phoenix,0,177
Phoenix,1,160
Phoenix,2,134
Phoenix,3,136
Phoenix,4,144
Phoenix,5,152
Phoenix,6,132
Phoenix,7,131
Phoenix,8,147
Phoenix,9,143
Phoenix,10,126
Phoenix,11,115
Phoenix,12,140
Phoenix,13,133
Phoenix,14,136
Phoenix,15,141
Phoenix,16,150
Phoenix,17,201
Phoenix,18,144
Phoenix,19,229
Phoenix,20,232
Phoenix,21,227
Phoenix,22,229
Phoenix,23,188
Phoenix,24,188
Phoenix,25,165
Phoenix,26,181
Phoenix,27,225
Phoenix,28,218
Phoenix,29,230
Phoenix,30,207
Phoenix,31,245
Phoenix,32,249
Phoenix,33,238
Phoenix,34,206
Phoenix,35,246
Phoenix,36,220
Phoenix,37,208
Phoenix,38,100
Salt Lake City,-15,51
Salt Lake City,-14,54
Salt Lake City,-13,61
Salt Lake City,-12,61
Salt Lake City,-11,76
Salt Lake City,-10,59
Salt Lake City,-9,41
Salt Lake City,-8,66
Salt Lake City,-7,34
Salt Lake City,-6,59
Salt Lake City,-5,57
Salt Lake City,-4,82
Salt Lake City,-3,28
Salt Lake City,-2,44
Salt Lake City,-1,63
Salt Lake City,0,186
Salt Lake City,1,149
Salt Lake City,2,148
Salt Lake City,3,140
Salt Lake City,4,161
Salt Lake City,5,116
Salt Lake City,6,132
Salt Lake City,7,95
Salt Lake City,8,130
Salt Lake City,9,153
Salt Lake City,10,154
Salt Lake City,11,133
Salt Lake City,12,152
Salt Lake City,13,144
Salt Lake City,14,117
Salt Lake City,15,176
Salt Lake City,16,153
Salt Lake City,17,190
Salt Lake City,18,189
